"","DOWNLOAD.DATE","IDENTIFIER","LATEST.ADMISSION.DATE","RACE","GENDER","AGE","BOND.AMOUNT","OFFENSE","FACILITY","DETAINER","max_bail","min_bail","earliest","earliest2","latest","duration1","duration2","for_filter","prior","current","quantile"
"12",2016-07-01,"ZZEBECLS","05/10/2016","WHITE","M",67,50300,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",50300,50300,2016-07-01,2016-05-10,2016-07-14,13,65,"ZZEBECLSCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",3
"13",2016-07-01,"ZZEBHLSW","06/29/2016","WHITE","M",49,5000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",5000,5000,2016-07-01,2016-06-29,2016-07-13,12,14,"ZZEBHLSWVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",1
"14",2016-07-01,"ZZEBHZBE","03/24/2016","WHITE","M",44,198000,"ROBBERY, FIRST DEGREE                 BF","NEW HAVEN CC","STATE OF CT",198000,197000,2016-07-01,2016-03-24,NA,NA,NA,"ZZEBHZBEROBBERY, FIRST DEGREE                 BF","in prior to July 1","still in",4
"15",2016-07-01,"ZZEBJRWE","06/17/2016","WHITE","M",47,115000,"SEXUAL ASSAULT, FIRST DEGREE           F","CORRIGAN CI","NONE",365000,115000,2016-07-01,2016-06-17,NA,NA,NA,"ZZEBJRWESEXUAL ASSAULT, FIRST DEGREE           F","in prior to July 1","still in",4
"16",2016-07-01,"ZZEBLCJW","06/07/2016","BLACK","M",45,20000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","BRIDGEPORT CC","NONE",20100,20000,2016-07-01,2016-06-07,2016-08-19,49,73,"ZZEBLCJWSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in prior to July 1","out",2
"17",2016-07-01,"ZZEBLEZW","11/20/2015","WHITE","M",43,250500,"ROBBERY, FIRST DEGREE                 BF","GARNER","NONE",250500,250500,2016-07-01,2015-11-20,2016-08-19,49,273,"ZZEBLEZWROBBERY, FIRST DEGREE                 BF","in prior to July 1","out",4
"18",2016-07-01,"ZZEBLSHL","12/07/2015","WHITE","F",46,12000,"ROBBERY, THIRD DEGREE                 DF","YORK CI","NONE",12000,12000,2016-07-01,2015-12-07,2016-11-08,130,337,"ZZEBLSHLROBBERY, THIRD DEGREE                 DF","in prior to July 1","out",2
"19",2016-07-01,"ZZEBRSZL","06/23/2016","BLACK","M",44,50000,"POSSESSION OF NARCOTICS","HARTFORD CC","NONE",50300,50000,2016-07-01,2016-06-23,2016-09-15,76,84,"ZZEBRSZLPOSSESSION OF NARCOTICS","in prior to July 1","out",3
"20",2016-07-01,"ZZEBRZZB","03/11/2016","HISPANIC","M",43,55100,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","BRIDGEPORT CC","NONE",55100,55050,2016-07-01,2016-03-11,NA,NA,NA,"ZZEBRZZBSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in prior to July 1","still in",3
"21",2016-07-01,"ZZEBSCWL","04/13/2016","BLACK","M",49,2500,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",2500,2500,2016-07-01,2016-04-13,2016-07-01,0,79,"ZZEBSCWLVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",1
"22",2016-07-01,"ZZEBSWLJ","01/19/2016","WHITE","M",43,85500,"BURGLARY, THIRD DEGREE                DF","BRIDGEPORT CC","NONE",85500,85500,2016-07-01,2016-01-19,2016-08-19,49,213,"ZZEBSWLJBURGLARY, THIRD DEGREE                DF","in prior to July 1","out",3
"23",2016-07-01,"ZZEBWESJ","05/25/2016","WHITE","M",47,30000,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",30000,30000,2016-07-01,2016-05-25,2016-07-15,14,51,"ZZEBWESJCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",2
"24",2016-07-01,"ZZEBWLZC","03/15/2016","BLACK","M",45,100000,"ORGANIZED RETAIL THEFT                 F","HARTFORD CC","NONE",100000,100000,2016-07-01,2016-03-15,2016-11-02,124,232,"ZZEBWLZCORGANIZED RETAIL THEFT                 F","in prior to July 1","out",3
"25",2016-07-01,"ZZEBZCRW","06/06/2016","BLACK","M",43,40000,"RECKLESS ENDANGERMENT, FIRST DEGREE   AM","HARTFORD CC","NONE",400300,40000,2016-07-01,2016-06-06,2016-08-19,49,74,"ZZEBZCRWRECKLESS ENDANGERMENT, FIRST DEGREE   AM","in prior to July 1","out",3
"26",2016-07-01,"ZZECBBSB","04/01/2016","HISPANIC","M",44,1000,"THREATENING                           AM","BRIDGEPORT CC","NONE",1000,1000,2016-07-01,2016-04-01,2016-07-20,19,110,"ZZECBBSBTHREATENING                           AM","in prior to July 1","out",1
"27",2016-07-01,"ZZECBEHE","04/01/2016","BLACK","M",43,200000,"CRIMINAL ATTEMPT","BRIDGEPORT CC","NONE",200000,200000,2016-07-01,2016-04-01,2016-08-11,41,132,"ZZECBEHECRIMINAL ATTEMPT","in prior to July 1","out",4
"28",2016-07-01,"ZZECBERH","05/02/2016","BLACK","M",53,10000,"IDENTITY THEFT 2ND DEGREE             CF","BRIDGEPORT CC","NONE",10000,10000,2016-07-01,2016-05-02,2016-07-26,25,85,"ZZECBERHIDENTITY THEFT 2ND DEGREE             CF","in prior to July 1","out",1
"29",2016-07-01,"ZZECBZWZ","06/13/2016","BLACK","M",44,75000,"INJURY OR RISK OF INJURY TO MINOR      F","GARNER","NONE",75000,75000,2016-07-01,2016-06-13,2016-07-14,13,31,"ZZECBZWZINJURY OR RISK OF INJURY TO MINOR      F","in prior to July 1","out",3
"30",2016-07-01,"ZZECCEZJ","10/13/2015","BLACK","M",52,350000,"ASSAULT, FIRST DEGREE                 BF","NEW HAVEN CC","NONE",350000,350000,2016-07-01,2015-10-13,NA,NA,NA,"ZZECCEZJASSAULT, FIRST DEGREE                 BF","in prior to July 1","still in",4
"31",2016-07-01,"ZZECCLBL","02/02/2016","WHITE","M",45,75000,"ROBBERY, FIRST DEGREE                 BF","NEW HAVEN CC","NONE",75000,75000,2016-07-01,2016-02-02,NA,NA,NA,"ZZECCLBLROBBERY, FIRST DEGREE                 BF","in prior to July 1","still in",3
"32",2016-07-01,"ZZECEBCE","03/14/2016","WHITE","M",45,130000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",130000,130000,2016-07-01,2016-03-14,2016-11-04,126,235,"ZZECEBCEVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",4
"33",2016-07-01,"ZZECEEJH","06/17/2016","BLACK","M",62,500,"THREATENING                           AM","GARNER","NONE",1000,500,2016-07-01,2016-06-17,2016-08-19,49,63,"ZZECEEJHTHREATENING                           AM","in prior to July 1","out",1
"34",2016-07-01,"ZZECEHEW","03/30/2016","WHITE","M",56,27000,"ASSAULT, THIRD DEGREE                 AM","HARTFORD CC","NONE",27000,27000,2016-07-01,2016-03-30,2016-08-10,40,133,"ZZECEHEWASSAULT, THIRD DEGREE                 AM","in prior to July 1","out",2
"35",2016-07-01,"ZZECEZSE","06/03/2016","BLACK","F",52,75000,"BURGLARY, THIRD DEGREE                DF","YORK CI","NONE",95000,75000,2016-07-01,2016-06-03,2016-11-21,143,171,"ZZECEZSEBURGLARY, THIRD DEGREE                DF","in prior to July 1","out",3
"36",2016-07-01,"ZZECHJBB","11/09/2015","HISPANIC","M",47,100200,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",100200,100200,2016-07-01,2015-11-09,2016-07-27,26,261,"ZZECHJBBVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",4
"37",2016-07-01,"ZZECHRBL","04/20/2016","BLACK","M",48,50000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","HARTFORD CC","NONE",50000,50000,2016-07-01,2016-04-20,2016-07-15,14,86,"ZZECHRBLSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in prior to July 1","out",3
"38",2016-07-01,"ZZECHRHR","04/22/2016","BLACK","M",46,500000,"KIDNAPPING, 2ND DEGREE                BF","MACDOUGALL","NONE",500000,50000,2016-07-01,2016-04-22,NA,NA,NA,"ZZECHRHRKIDNAPPING, 2ND DEGREE                BF","in prior to July 1","still in",4
"39",2016-07-01,"ZZECHRSZ","06/13/2016","BLACK","M",49,1500,"REG PERSON WHO COMM SEX VIOL OFF      DF","NEW HAVEN CC","STATE OF CT",1500,1500,2016-07-01,2016-06-13,2016-07-01,0,18,"ZZECHRSZREG PERSON WHO COMM SEX VIOL OFF      DF","in prior to July 1","out",1
"40",2016-07-01,"ZZECHWSL","04/14/2016","HISPANIC","F",45,100000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","YORK CI","FEDERAL",100000,100000,2016-07-01,2016-04-14,2016-08-19,49,127,"ZZECHWSLSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in prior to July 1","out",3
"41",2016-07-01,"ZZECJCEE","05/06/2016","WHITE","M",61,25000,"THREATENING                           AM","HARTFORD CC","NONE",25000,25000,2016-07-01,2016-05-06,2016-07-14,13,69,"ZZECJCEETHREATENING                           AM","in prior to July 1","out",2
"42",2016-07-01,"ZZECJRBZ","03/10/2016","BLACK","M",45,125000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","CORRIGAN CI","NONE",125000,125000,2016-07-01,2016-03-10,NA,NA,NA,"ZZECJRBZSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in prior to July 1","still in",4
"43",2016-07-01,"ZZECJSJC","01/19/2016","BLACK","M",43,102500,"ROBBERY, FIRST DEGREE                 BF","NEW HAVEN CC","NONE",102500,102500,2016-07-01,2016-01-19,NA,NA,NA,"ZZECJSJCROBBERY, FIRST DEGREE                 BF","in prior to July 1","still in",4
"44",2016-07-01,"ZZECLHHL","11/17/2015","HISPANIC","M",47,125000,"CRIMINAL TROVER, 1ST DEGREE            F","NEW HAVEN CC","STATE OF CT",125000,25000,2016-07-01,2015-11-17,2016-12-20,172,399,"ZZECLHHLCRIMINAL TROVER, 1ST DEGREE            F","in prior to July 1","out",4
"45",2016-07-01,"ZZECLHZZ","06/17/2016","BLACK","M",44,50000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",50000,50000,2016-07-01,2016-06-17,2016-08-01,31,45,"ZZECLHZZVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",3
"46",2016-07-01,"ZZECLZSC","03/07/2016","WHITE","M",51,110000,"CRIM VIOL ST CRIM RESTR ORDER         DF","NEW HAVEN CC","NONE",110000,35000,2016-07-01,2016-03-07,NA,NA,NA,"ZZECLZSCCRIM VIOL ST CRIM RESTR ORDER         DF","in prior to July 1","still in",4
"47",2016-07-01,"ZZECRWSC","05/06/2016","WHITE","M",55,50000,"OPERATE UNDER INFLU OF LIQ OR DRUGS","BRIDGEPORT CC","NONE",50000,50000,2016-07-01,2016-05-06,2016-07-12,11,67,"ZZECRWSCOPERATE UNDER INFLU OF LIQ OR DRUGS","in prior to July 1","out",3
"48",2016-07-01,"ZZECSBWZ","06/24/2016","BLACK","M",44,12000,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","NEW HAVEN CC","NONE",160000,10000,2016-07-01,2016-06-24,NA,NA,NA,"ZZECSBWZSALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","in prior to July 1","still in",2
"49",2016-07-01,"ZZECSWWZ","06/17/2016","WHITE","M",54,400,"CRIM VIOL OF PROTECTIVE ORDER         DF","NEW HAVEN CC","NONE",400,400,2016-07-01,2016-06-17,2016-07-08,7,21,"ZZECSWWZCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",1
"50",2016-07-01,"ZZECWLRH","03/28/2016","BLACK","M",45,25000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",25000,25000,2016-07-01,2016-03-28,2016-07-19,18,113,"ZZECWLRHVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",2
"51",2016-07-01,"ZZECWRLH","05/03/2016","BLACK","M",61,350000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","WALKER RC","NONE",350000,350000,2016-07-01,2016-05-03,NA,NA,NA,"ZZECWRLHSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in prior to July 1","still in",4
"52",2016-07-01,"ZZECWSBB","03/23/2016","BLACK","M",44,100000,"CRIM VIOL RES ORDER                   AM","HARTFORD CC","NONE",100000,100000,2016-07-01,2016-03-23,2016-08-08,38,138,"ZZECWSBBCRIM VIOL RES ORDER                   AM","in prior to July 1","out",3
"53",2016-07-01,"ZZECZCHL","04/11/2016","BLACK","M",44,825000,"CRIM VIOL OF PROTECTIVE ORDER         DF","NORTHERN CI","NONE",825000,825000,2016-07-01,2016-04-11,2016-07-07,6,87,"ZZECZCHLCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",4
"54",2016-07-01,"ZZECZEZR","06/13/2016","BLACK","M",44,25000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",25000,25000,2016-07-01,2016-06-13,2016-07-26,25,43,"ZZECZEZRVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",2
"55",2016-07-01,"ZZECZJZH","01/25/2016","BLACK","M",45,41501,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",46501,41501,2016-07-01,2016-01-25,2016-07-08,7,165,"ZZECZJZHCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",3
"56",2016-07-01,"ZZECZRCL","05/20/2016","WHITE","M",67,100000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",100000,100000,2016-07-01,2016-05-20,2016-07-12,11,53,"ZZECZRCLVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",3
"57",2016-07-01,"ZZECZZCL","01/12/2016","BLACK","M",55,300000,"POSSESSION OF NARCOTICS","HARTFORD CC","NONE",305000,300000,2016-07-01,2016-01-12,2016-12-14,166,337,"ZZECZZCLPOSSESSION OF NARCOTICS","in prior to July 1","out",4
"58",2016-07-01,"ZZEEBECW","12/07/2015","WHITE","M",51,99000,"ROBBERY, FIRST DEGREE                BF","HARTFORD CC","NONE",99000,99000,2016-07-01,2015-12-07,NA,NA,NA,"ZZEEBECWROBBERY, FIRST DEGREE                BF","in prior to July 1","still in",3
"59",2016-07-01,"ZZEEBLCE","06/22/2016","WHITE","M",57,25000,"LARCENY, THIRD DEGREE                 DF","HARTFORD CC","NONE",25000,25000,2016-07-01,2016-06-22,2016-11-21,143,152,"ZZEEBLCELARCENY, THIRD DEGREE                 DF","in prior to July 1","out",2
"60",2016-07-01,"ZZEEBZSS","01/11/2016","HISPANIC","M",53,200000,"CRIM VIOL OF PROTECTIVE ORDER         DF","HARTFORD CC","NONE",200000,200000,2016-07-01,2016-01-11,2016-09-19,80,252,"ZZEEBZSSCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",4
"61",2016-07-01,"ZZEECSHS","06/20/2016","BLACK","M",56,35000,"CRIMINAL TRESPASS, THIRD DEGREE       CM","HARTFORD CC","NONE",35000,35000,2016-07-01,2016-06-20,2016-07-05,4,15,"ZZEECSHSCRIMINAL TRESPASS, THIRD DEGREE       CM","in prior to July 1","out",2
"62",2016-07-01,"ZZEECWEE","06/27/2016","BLACK","M",49,64000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",64000,64000,2016-07-01,2016-06-27,2016-11-08,130,134,"ZZEECWEEVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",3
"63",2016-07-01,"ZZEEEBBJ","06/29/2016","BLACK","M",54,3000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",22500,3000,2016-07-01,2016-06-29,NA,NA,NA,"ZZEEEBBJVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","still in",1
"64",2016-07-01,"ZZEEEHEW","06/16/2016","WHITE","M",53,35000,"CRIMINAL ATTEMPT","BRIDGEPORT CC","NONE",50000,35000,2016-07-01,2016-06-16,2016-11-03,125,140,"ZZEEEHEWCRIMINAL ATTEMPT","in prior to July 1","out",2
"65",2016-07-01,"ZZEEHJHH","05/09/2016","BLACK","M",53,25000,"INTERFERING WITH AN OFFICER           AM","BRIDGEPORT CC","NONE",25000,25000,2016-07-01,2016-05-09,2016-09-19,80,133,"ZZEEHJHHINTERFERING WITH AN OFFICER           AM","in prior to July 1","out",2
"66",2016-07-01,"ZZEEJBBE","07/14/2015","BLACK","M",57,100000,"ASSAULT, FIRST DEGREE                 BF","BRIDGEPORT CC","NONE",100000,100000,2016-07-01,2015-07-14,NA,NA,NA,"ZZEEJBBEASSAULT, FIRST DEGREE                 BF","in prior to July 1","still in",3
"67",2016-07-01,"ZZEEJSJH","04/25/2016","BLACK","M",51,400000,"ROBBERY, FIRST DEGREE                 BF","NORTHERN CI","FEDERAL",400000,100000,2016-07-01,2016-04-25,2016-08-19,49,116,"ZZEEJSJHROBBERY, FIRST DEGREE                 BF","in prior to July 1","out",4
"68",2016-07-01,"ZZEELEZL","01/04/2016","WHITE","M",50,252000,"BURGLARY, SECOND DEGREE               CF","BRIDGEPORT CC","NONE",252000,252000,2016-07-01,2016-01-04,NA,NA,NA,"ZZEELEZLBURGLARY, SECOND DEGREE               CF","in prior to July 1","still in",4
"69",2016-07-01,"ZZEELSER","12/14/2015","BLACK","M",54,100000,"STRANGULATION 2ND DEGREE              DF","CORRIGAN CI","NONE",100000,100000,2016-07-01,2015-12-14,2016-07-20,19,219,"ZZEELSERSTRANGULATION 2ND DEGREE              DF","in prior to July 1","out",3
"70",2016-07-01,"ZZEELSSL","06/13/2016","WHITE","M",50,7500,"INJURY OR RISK OF INJURY TO MINOR      F","HARTFORD CC","NONE",7500,7500,2016-07-01,2016-06-13,2016-08-05,35,53,"ZZEELSSLINJURY OR RISK OF INJURY TO MINOR      F","in prior to July 1","out",1
"71",2016-07-01,"ZZEELWJH","05/17/2016","BLACK","M",52,350000,"CRIMINAL POSSESSION OF A PISTOL       DF","HARTFORD CC","NONE",350000,350000,2016-07-01,2016-05-17,2016-10-31,122,167,"ZZEELWJHCRIMINAL POSSESSION OF A PISTOL       DF","in prior to July 1","out",4
"72",2016-07-01,"ZZEELZRW","06/06/2016","BLACK","M",49,25000,"POSSESSION OF NARCOTICS","HARTFORD CC","NONE",25000,25000,2016-07-01,2016-06-06,2016-07-08,7,32,"ZZEELZRWPOSSESSION OF NARCOTICS","in prior to July 1","out",2
"73",2016-07-01,"ZZEESHBJ","06/09/2016","WHITE","M",52,100000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",100000,100000,2016-07-01,2016-06-09,2016-07-05,4,26,"ZZEESHBJVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",3
"74",2016-07-01,"ZZEESSSC","05/09/2016","BLACK","M",56,25000,"DISORDERLY CONDUCT                    CM","BRIDGEPORT CC","NONE",25000,25000,2016-07-01,2016-05-09,2016-08-01,31,84,"ZZEESSSCDISORDERLY CONDUCT                    CM","in prior to July 1","out",2
"75",2016-07-01,"ZZEEWCJC","04/08/2016","BLACK","M",51,10000,"LARCENY, SIXTH DEGREE                 CM","GARNER","NONE",10000,10000,2016-07-01,2016-04-08,2016-07-11,10,94,"ZZEEWCJCLARCENY, SIXTH DEGREE                 CM","in prior to July 1","out",1
"76",2016-07-01,"ZZEEWSJB","04/18/2016","BLACK","M",50,272500,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",272500,272500,2016-07-01,2016-04-18,2016-09-07,68,142,"ZZEEWSJBVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",4
"77",2016-07-01,"ZZEEZLSR","04/11/2016","HISPANIC","M",50,75000,"BURGLARY, THIRD DEGREE                DF","NEW HAVEN CC","NONE",75000,75000,2016-07-01,2016-04-11,2016-09-19,80,161,"ZZEEZLSRBURGLARY, THIRD DEGREE                DF","in prior to July 1","out",3
"78",2016-07-01,"ZZEEZWWL","01/05/2016","WHITE","M",53,21000,"BURGLARY, THIRD DEGREE                DF","BRIDGEPORT CC","NONE",21000,21000,2016-07-01,2016-01-05,2016-07-12,11,189,"ZZEEZWWLBURGLARY, THIRD DEGREE                DF","in prior to July 1","out",2
"79",2016-07-01,"ZZEEZZHR","01/06/2016","WHITE","M",53,450100,"TAMPERING WITH OR FABRICATING EVIDNC  DF","MACDOUGALL","OTHER STATE",450100,450100,2016-07-01,2016-01-06,NA,NA,NA,"ZZEEZZHRTAMPERING WITH OR FABRICATING EVIDNC  DF","in prior to July 1","still in",4
"80",2016-07-01,"ZZEEZZWB","01/05/2016","BLACK","M",51,99000,"SEXUAL ASSAULT, FIRST DEGREE           F","HARTFORD CC","NONE",99000,99000,2016-07-01,2016-01-05,2016-11-01,123,301,"ZZEEZZWBSEXUAL ASSAULT, FIRST DEGREE           F","in prior to July 1","out",3
"81",2016-07-01,"ZZEHBBCE","06/15/2016","BLACK","F",53,50000,"INJURY OR RISK OF INJURY TO MINOR      F","YORK CI","NONE",50000,50000,2016-07-01,2016-06-15,2016-07-21,20,36,"ZZEHBBCEINJURY OR RISK OF INJURY TO MINOR      F","in prior to July 1","out",3
"82",2016-07-01,"ZZEHBHSB","10/30/2015","BLACK","M",49,160150,"STRANGULATION 1ST DEGREE              CF","BRIDGEPORT CC","NONE",160150,160150,2016-07-01,2015-10-30,NA,NA,NA,"ZZEHBHSBSTRANGULATION 1ST DEGREE              CF","in prior to July 1","still in",4
"83",2016-07-01,"ZZEHBLJE","06/13/2016","WHITE","M",48,5000,"THREATENING                           AM","NEW HAVEN CC","NONE",5000,5000,2016-07-01,2016-06-13,2016-07-13,12,30,"ZZEHBLJETHREATENING                           AM","in prior to July 1","out",1
"84",2016-07-01,"ZZEHCWJE","06/02/2016","BLACK","M",47,30000,"CRIMINAL IMPERSONATION                BM","GARNER","NONE",30000,30000,2016-07-01,2016-06-02,2016-08-16,46,75,"ZZEHCWJECRIMINAL IMPERSONATION                BM","in prior to July 1","out",2
"85",2016-07-01,"ZZEHEBEC","05/26/2016","WHITE","M",48,5100,"STRANGULATION 2ND DEGREE              DF","NEW HAVEN CC","NONE",5100,5100,2016-07-01,2016-05-26,2016-08-19,49,85,"ZZEHEBECSTRANGULATION 2ND DEGREE              DF","in prior to July 1","out",1
"86",2016-07-01,"ZZEHECBS","05/18/2016","BLACK","M",47,60000,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",60000,60000,2016-07-01,2016-05-18,2016-08-19,49,93,"ZZEHECBSCRIM VIOL OF PROTECTIVE ORDER         DF","in prior to July 1","out",3
"87",2016-07-01,"ZZEHECRZ","05/26/2016","BLACK","M",50,25000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",25000,25000,2016-07-01,2016-05-26,2016-07-25,24,60,"ZZEHECRZVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",2
"88",2016-07-01,"ZZEHEHRL","11/17/2015","WHITE","M",49,500,"ASSAULT, THIRD DEGREE                 AM","CORRIGAN CI","NONE",500,500,2016-07-01,2015-11-17,2016-07-06,5,232,"ZZEHEHRLASSAULT, THIRD DEGREE                 AM","in prior to July 1","out",1
"89",2016-07-01,"ZZEHHCRE","04/27/2016","BLACK","M",50,35000,"CONVEY UNAUTHZD ITEMS INTO INST       DF","NEW HAVEN CC","NONE",35000,25000,2016-07-01,2016-04-27,2016-11-01,123,188,"ZZEHHCRECONVEY UNAUTHZD ITEMS INTO INST       DF","in prior to July 1","out",2
"90",2016-07-01,"ZZEHJLBE","06/22/2016","BLACK","M",47,750000,"SEXUAL ASSAULT, FIRST DEGREE           F","NORTHERN CI","NONE",750000,750000,2016-07-01,2016-06-22,NA,NA,NA,"ZZEHJLBESEXUAL ASSAULT, FIRST DEGREE           F","in prior to July 1","still in",4
